%# Absorption coefficients
%# USA model, high latitude, winter, H=0
%# Wavenumber range: 7443-7446 cm-1, T: 296 K, P: 1 atm, step: 0.0001 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
%# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
%# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)
%
 7443.042900    9.8598899833E-08    3.9767693431E-27
 7443.043000    9.8576815665E-08    3.9758786268E-27
 7443.043100    9.8554794146E-08    3.9749904374E-27
 7443.043200    9.8532835145E-08    3.9741047695E-27
 7443.043300    9.8510938532E-08    3.9732216178E-27
 7443.043400    9.8489104177E-08    3.9723409773E-27
 7443.043500    9.8467331951E-08    3.9714628425E-27
 7443.043600    9.8445621724E-08    3.9705872083E-27
 7443.043700    9.8423973367E-08    3.9697140696E-27
 7443.043800    9.8402386751E-08    3.9688434210E-27
 7443.043900    9.8380861748E-08    3.9679752574E-27
 7443.044000    9.8359398230E-08    3.9671095737E-27
 7443.044100    9.8337996067E-08    3.9662463646E-27
 7443.044200    9.8316655134E-08    3.9653856251E-27
 7443.044300    9.8295375302E-08    3.9645273500E-27
 7443.044400    9.8274156444E-08    3.9636715341E-27
 7443.044500    9.8252998433E-08    3.9628181724E-27
 7443.044600    9.8231901143E-08    3.9619672597E-27
 7443.044700    9.8210864447E-08    3.9611187909E-27
 7443.044800    9.8189888219E-08    3.9602727610E-27
 7443.044900    9.8168972335E-08    3.9594291649E-27
 7443.045000    9.8148116667E-08    3.9585879975E-27
 7443.045100    9.8127321091E-08    3.9577492537E-27
 7443.045200    9.8106585483E-08    3.9569129287E-27
 7443.045300    9.8085909717E-08    3.9560790172E-27
 7443.045400    9.8065293670E-08    3.9552475144E-27
 7443.045500    9.8044737217E-08    3.9544184152E-27
 7443.045600    9.8024240235E-08    3.9535917146E-27
 7443.045700    9.8003802600E-08    3.9527674076E-27
